id,predicted_price
2591820310,377330.3098
7974200820,852654.6604
7701450110,1010517.068
9522300010,2125076.776
9510861140,740496.9571
1761300310,264056.2863
7732410120,773418.5003
7010701383,635303.9892
291310170,398396.9026
4232901990,584518.8286
6840701125,612581.0477
3971700580,400252.645
4202400078,232646.3296
6064800090,397762.4868
2626119028,238824.3372
3303980660,1139027.491
862000020,689772.2211
2386000070,977306.1741
1138000450,375913.8944
1775800420,437536.2566
2291401425,375192.9163
2025770560,925871.1288
3525069037,755795.7547
9324800450,611282.2068
8080400136,557168.5696
8651540040,527430.8918
9407001790,229767.9076
1773101530,203299.0174
9432900250,346489.2574
1794500695,624579.2386
2220069003,321392.2599
923000120,527012.1063
5728000060,550826.093
16000200,246649.0055
1926059094,381729.0483
6672900220,987268.6524
3629860060,836768.5976
1822069109,395357.3677
6675500105,365820.1913
249000180,1724732.823
226059065,510263.4253
396100110,264434.8353
9264450460,335190.0878
7853361210,383439.5472
9474700020,287708.726
421000455,227806.617
3755200220,418810.3147
7960100075,487071.279
9477100490,364798.1097
9138100350,719155.024
1624049275,364801.8403
2770606890,497031.0367
1157200189,374955.9514
2770601800,450226.7755
9301300805,534691.4093
2325069032,1167386.428
1021079099,365643.8646
7215730040,780525.9845
1853200080,452956.7454
3224600340,711753.0213
3222049120,420649.7561
2113700025,273488.9825
7893207925,206773.9859
3586501085,659409.1789
8024200010,372849.273
7116500705,169776.07
1598600209,339057.7721
7204200025,1151496.28
4206901505,523845.7524
2937300440,970114.1721
7205000180,301699.923
8718500665,367560.1737
5318101765,897590.9676
4122700020,893071.0444
8078700020,541983.6823
3303980680,954069.0595
8924100372,1146345.525
2781270210,200653.1601
519000043,550090.789
3225069301,1491557.564
151000075,792587.8914
2297400020,471841.8931
6617500085,530442.8094
104510180,241004.6513
3528900060,950482.5711
3345100286,547772.4883
1226039130,422693.5352
8712100720,834483.5598
3037200010,384549.7807
3626039268,387907.4584
104510230,256166.1348
5112800060,350269.2891
6072400280,574040.4484
5317100570,1207417.775
9528102993,517556.0578
2919201095,450546.2769
6181400920,251678.9252
185000161,243524.8709
8691400010,780562.1692
3345700165,574058.6783
6151800486,251285.8661
4340000080,1297391.807
4136960010,542947.3407
3634100030,327483.9806
1624059224,1102240.525
2788400090,269414.61
